date,open,high,low,close
2019-10-21 0:00:00,175.18,177.9,171.59,173.98
2019-10-20 0:00:00,171.84,176.88,169.21,175.22
2019-10-19 0:00:00,172.78,174.98,169.44,171.79
2019-10-18 0:00:00,177.17,177.44,168.66,172.74
2019-10-17 0:00:00,174.52,178.96,172.61,177.16
2019-10-16 0:00:00,180.52,181.44,171.81,174.47
2019-10-15 0:00:00,186.7,188.37,175.96,180.49
2019-10-14 0:00:00,180.98,187.54,180.43,186.72
2019-10-13 0:00:00,179.65,184.95,178.52,180.99
2019-10-12 0:00:00,180.65,184.64,177.59,179.68
2019-10-11 0:00:00,191.18,196.65,179.41,180.72
2019-10-10 0:00:00,192.61,194.2,186.88,191.14
2019-10-09 0:00:00,180.61,195.53,178.96,192.62
2019-10-08 0:00:00,179.88,184.87,177,180.6
2019-10-07 0:00:00,170.08,182.32,168.68,179.85
2019-10-06 0:00:00,176.23,177.04,167.68,170.1
2019-10-05 0:00:00,175.55,176.71,172.02,176.25
2019-10-04 0:00:00,174.71,178.98,170.74,175.55
2019-10-03 0:00:00,180.24,180.72,169.55,174.69
2019-10-02 0:00:00,175.65,181.29,173.65,180.24
2019-10-01 0:00:00,180.89,185.53,173.19,175.66
2019-09-30 0:00:00,169.26,181.24,165.01,180.85
2019-09-29 0:00:00,173.5,174.5,164.12,169.24
2019-09-28 0:00:00,173.83,175.49,168,173.49
2019-09-27 0:00:00,165.92,176.72,161.03,173.79
2019-09-26 0:00:00,169.96,171.01,152.11,165.92
2019-09-25 0:00:00,165.72,174.85,161.88,169.96
2019-09-24 0:00:00,201.25,202.98,150.03,165.81
2019-09-23 0:00:00,211.2,211.68,198.65,201.29
2019-09-22 0:00:00,215.04,215.61,206.1,211.2
2019-09-21 0:00:00,218.01,221.5,213.2,215.05
2019-09-20 0:00:00,220.26,221.54,212.05,218.03
2019-09-19 0:00:00,210.27,223.94,202.3,220.24
2019-09-18 0:00:00,207.85,217.27,207.66,210.21
2019-09-17 0:00:00,197.23,215.13,195.74,207.84
2019-09-16 0:00:00,189.05,199.44,188.3,197.22
2019-09-15 0:00:00,188.14,190.45,185.76,189.03
2019-09-14 0:00:00,180.96,188.79,179.75,188.13
2019-09-13 0:00:00,180.71,181.38,177.54,180.95
2019-09-12 0:00:00,178.3,182.38,176.62,180.72
2019-09-11 0:00:00,179.87,182.8,173,178.28
2019-09-10 0:00:00,180.52,184.36,177,179.81
2019-09-09 0:00:00,181.18,185.38,176.01,180.54
2019-09-08 0:00:00,177.58,184.18,176.13,181.19
2019-09-07 0:00:00,169.11,180.8,168.3,177.62
2019-09-06 0:00:00,173.74,177.87,165,169.08
2019-09-05 0:00:00,174.7,176.19,168.1,173.75
2019-09-04 0:00:00,178.79,180.14,173,174.72
2019-09-03 0:00:00,178,183,174.09,178.75
2019-09-02 0:00:00,170.73,181,170.02,178.05
2019-09-01 0:00:00,171.52,173.42,167.61,170.74
2019-08-31 0:00:00,168.48,174.98,165.63,171.57
2019-08-30 0:00:00,169.03,170.77,165.55,168.5
2019-08-29 0:00:00,173.03,173.5,163.61,169.01
2019-08-28 0:00:00,187.3,188.25,166.48,173.03
2019-08-27 0:00:00,188.61,189.49,184.75,187.24
2019-08-26 0:00:00,186.54,193.7,186,188.67
2019-08-25 0:00:00,190.6,192.4,182.8,186.54
2019-08-24 0:00:00,194.02,194.09,185.63,190.6
2019-08-23 0:00:00,190.36,196.19,188.16,194.02
2019-08-22 0:00:00,187.45,195.14,182.8,190.35
2019-08-21 0:00:00,196.55,197.2,179.53,187.45
2019-08-20 0:00:00,202.24,202.75,194.45,196.6
2019-08-19 0:00:00,194.32,203.59,192.7,202.28
2019-08-18 0:00:00,185.67,197.91,183.35,194.33
2019-08-17 0:00:00,184.83,187,181.83,185.59
2019-08-16 0:00:00,187.98,188.39,178.04,184.88
2019-08-15 0:00:00,187.08,189.95,181.23,188.03
2019-08-14 0:00:00,209.31,209.9,183.49,187.1
2019-08-13 0:00:00,211.58,214.3,204,209.3
2019-08-12 0:00:00,216.41,216.81,209.75,211.41
2019-08-11 0:00:00,206.48,216.94,206.14,216.42
2019-08-10 0:00:00,210.52,215,202.6,206.48
2019-08-09 0:00:00,221.38,221.79,207.3,210.53
2019-08-08 0:00:00,226.11,228.5,215.51,221.39
2019-08-07 0:00:00,226.31,231.25,220.95,226.1
2019-08-06 0:00:00,233.53,239.15,223.03,226.28
2019-08-05 0:00:00,221.79,236.25,221.79,233.54
2019-08-04 0:00:00,222.14,223.34,216.9,221.79
2019-08-03 0:00:00,217.69,224.51,216.62,222.14
2019-08-02 0:00:00,216.8,222.18,214.31,217.61
2019-08-01 0:00:00,218.42,219.39,210.54,216.84
2019-07-31 0:00:00,209.57,218.79,209.2,218.42
2019-07-30 0:00:00,210.84,214.36,204.4,209.58
2019-07-29 0:00:00,211.58,215.83,206.59,210.89
2019-07-28 0:00:00,207.3,213.52,198.24,211.62
2019-07-27 0:00:00,218.81,223.3,203,207.3
2019-07-26 0:00:00,219.14,220,212.71,218.81
2019-07-25 0:00:00,216.31,225.12,215.23,219.14
2019-07-24 0:00:00,212.55,218.28,202,216.31
